Product_name,Prices,Description,Reviews,CPU,RAM,OS,Storage,Display,Warranty,doc
HP 240 G9 Intel Core i5 12th Gen i5-1235U - (8 GB/512 GB SSD/Windows 11 Pro) 240 G9 Business Laptop,51500.0,Intel Core i5 Processor (12th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 inch) Display1-Year,Unknown,Intel Core i5,8 GB,Windows 11,8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD,35.56 cm,No Warranty,hp 240 g9 intel core i5 12th gen i5-1235u - (8 gb/512 gb ssd/windows 11 pro) 240 g9 business laptop intel core i5 8 gb 8 gb ddr4 ram64 bit windows 11 operating system512 gb ssd ₹51500.0 intel core i5 processor (12th gen)8 gb ddr4 ram64 bit windows 11 operating system512 gb ssd35.56 cm (14 inch) display1-year
DELL Inspiron 14 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5440 Thin ...,64990.0,Intel Core i5 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD35.56 cm (14 inch) DisplayMicrosoft Office Home & Student 20211 Year Onsite Hardware Service,Unknown,Intel Core i5,16 GB,Windows 11,16 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD,35.56 cm,No Warranty,dell inspiron 14 intel core i5 13th gen 1334u - (16 gb/512 gb ssd/windows 11 home) inspiron 5440 thin ... intel core i5 16 gb 16 gb ddr5 ramwindows 11 home operating system512 gb ssd ₹64990.0 intel core i5 processor (13th gen)16 gb ddr5 ramwindows 11 home operating system512 gb ssd35.56 cm (14 inch) displaymicrosoft office home & student 20211 year onsite hardware service
Apple MacBook Pro Apple M3 Pro - (18 GB/1 TB SSD/macOS Sonoma) MRX43HN/A,224990.0,"Apple M3 Pro Processor18 GB Unified Memory RAMMac OS Operating System1 TB SSD35.56 cm (14 Inch) DisplayBuilt-in Apps- App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos1 Year Limited Warranty",Unknown,Apple M3 Pro,18 GB,Not Specified,18 GB Unified Memory RAMMac OS Operating System1 TB SSD,35.56 cm,1 Year Limited,"apple macbook pro apple m3 pro - (18 gb/1 tb ssd/macos sonoma) mrx43hn/a apple m3 pro 18 gb 18 gb unified memory rammac os operating system1 tb ssd ₹224990.0 apple m3 pro processor18 gb unified memory rammac os operating system1 tb ssd35.56 cm (14 inch) displaybuilt-in apps- app store, books, calendar, contacts, facetime, find my, freeform, garageband, home, imovie, keynote, mail, maps, messages, music, notes, numbers, pages, photo booth, photos, podcasts, preview, quicktime player, reminders, safari, shortcuts, siri, stocks, time machine, tv, voice memos1 year limited warranty"
SAMSUNG Galaxy Book4 Pro Evo AI PC Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) NP940X...,111990.0,Intel Core Ultra 5 Processor16 GB LPDDR5X RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 inch) Touchscreen DisplayMS Office Home and Student 20211 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,Unknown,Intel Core Ultra 5,16 GB,Windows 11,16 GB LPDDR5X RAM64 bit Windows 11 Operating System512 GB SSD,35.56 cm,20211 Year Manufacturer,samsung galaxy book4 pro evo ai pc intel core ultra 5 125h - (16 gb/512 gb ssd/windows 11 home) np940x... intel core ultra 5 16 gb 16 gb lpddr5x ram64 bit windows 11 operating system512 gb ssd ₹111990.0 intel core ultra 5 processor16 gb lpddr5x ram64 bit windows 11 operating system512 gb ssd35.56 cm (14 inch) touchscreen displayms office home and student 20211 year manufacturer warranty for laptop and 6 months for in-box accessories
HP Victus AMD Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce ...,60500.0,"AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office Home & Student 2021, HP Documentation, HP e-service, HP BIOS recovery, HP SSRM, HP Smart, HP Jumpstarts1 Year Onsite Warranty",Unknown,AMD Ryzen 5 Hexa Core,8 GB,Windows 11,8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD,39.62 cm,1 Year,"hp victus amd ryzen 5 hexa core 5600h - (8 gb/512 gb ssd/windows 11 home/4 gb graphics/nvidia geforce ... amd ryzen 5 hexa core 8 gb 8 gb ddr4 ram64 bit windows 11 operating system512 gb ssd ₹60500.0 amd ryzen 5 hexa core processor8 gb ddr4 ram64 bit windows 11 operating system512 gb ssd39.62 cm (15.6 inch) displaymicrosoft office home & student 2021, hp documentation, hp e-service, hp bios recovery, hp ssrm, hp smart, hp jumpstarts1 year onsite warranty"
Lenovo IdeaPad Gaming 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphic...,72990.0,Intel Core i5 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office Home & Student 20211 Year Onsite Warranty,Unknown,Intel Core i5,16 GB,Windows 11,16 GB DDR4 RAMWindows 11 Operating System512 GB SSD,39.62 cm,20211 Year,lenovo ideapad gaming 3 intel core i5 12th gen 12450h - (16 gb/512 gb ssd/windows 11 home/4 gb graphic... intel core i5 16 gb 16 gb ddr4 ramwindows 11 operating system512 gb ssd ₹72990.0 intel core i5 processor (12th gen)16 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) displaymicrosoft office home & student 20211 year onsite warranty
"ASUS Vivobook 16X For Creator, Intel H Series Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Window...",66590.0,Intel Core i5 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD40.64 cm (16 Inch) Display1 Year Onsite Warranty,Unknown,Intel Core i5,16 GB,Windows 11,16 GB DDR4 RAMWindows 11 Operating System512 GB SSD,40.64 cm,1 Year,"asus vivobook 16x for creator, intel h series intel core i5 12th gen 12450h - (16 gb/512 gb ssd/window... intel core i5 16 gb 16 gb ddr4 ramwindows 11 operating system512 gb ssd ₹66590.0 intel core i5 processor (12th gen)16 gb ddr4 ramwindows 11 operating system512 gb ssd40.64 cm (16 inch) display1 year onsite warranty"
ASUS VivoBook 15 Intel Celeron Quad Core N4020 - (4 GB/256 GB SSD/Windows 11 Home) X515MA-BR011W Thin ...,23490.0,Intel Celeron Quad Core Processor4 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty,Unknown,Intel Celeron Quad Core,4 GB,Windows 11,4 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD,39.62 cm,1 Year,asus vivobook 15 intel celeron quad core n4020 - (4 gb/256 gb ssd/windows 11 home) x515ma-br011w thin ... intel celeron quad core 4 gb 4 gb ddr4 ram64 bit windows 11 operating system256 gb ssd ₹23490.0 intel celeron quad core processor4 gb ddr4 ram64 bit windows 11 operating system256 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
HP G8 AMD Ryzen 5 Hexa Core 5th Gen 5500U - (8 GB/512 GB SSD/Windows 11 Home) 62Y30PA Laptop,32999.0,AMD Ryzen 5 Hexa Core Processor (5th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty,Unknown,AMD Ryzen 5 Hexa Core,8 GB,Windows 11,8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD,39.62 cm,1 Year,hp g8 amd ryzen 5 hexa core 5th gen 5500u - (8 gb/512 gb ssd/windows 11 home) 62y30pa laptop amd ryzen 5 hexa core 8 gb 8 gb ddr4 ram64 bit windows 11 operating system512 gb ssd ₹32999.0 amd ryzen 5 hexa core processor (5th gen)8 gb ddr4 ram64 bit windows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
Lenovo IdeaPad Slim 5 Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 16IAH8 Laptop,56990.0,Intel Core i5 Processor (12th Gen)16 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD40.64 cm (16 inch) Display1-year warranty,Unknown,Intel Core i5,16 GB,Windows 11,16 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD,40.64 cm,No Warranty,lenovo ideapad slim 5 intel core i5 12th gen - (16 gb/512 gb ssd/windows 11 home) 16iah8 laptop intel core i5 16 gb 16 gb lpddr5 ramwindows 11 operating system512 gb ssd ₹56990.0 intel core i5 processor (12th gen)16 gb lpddr5 ramwindows 11 operating system512 gb ssd40.64 cm (16 inch) display1-year warranty
